Date,Value
2006-09-01,509.8
2006-10-01,365.6774193548387
2006-11-01,623.6666666666666
2006-12-01,604.4516129032259
2007-01-01,607.4193548387096
2007-02-01,523.3571428571429
2007-03-01,479.64516129032256
2007-04-01,1408.2333333333333
2007-05-01,1209.3548387096773
2007-06-01,693.1333333333333
2007-07-01,545.0645161290323
2007-08-01,526.0
2007-09-01,445.43333333333334
2007-10-01,356.1290322580645
2007-11-01,369.1
2007-12-01,606.1612903225806
2008-01-01,631.9032258064516
2008-02-01,456.51724137931035
2008-03-01,356.3225806451613
2008-04-01,277.3
2008-05-01,240.67741935483872
2008-06-01,180.56666666666666
2008-07-01,164.51612903225808
2008-08-01,140.94838709677418
2008-09-01,120.41666666666667
2008-10-01,112.68064516129031
2008-11-01,126.3
2008-12-01,174.03225806451613
2009-01-01,121.03225806451613
2009-02-01,124.40714285714286
2009-03-01,114.75161290322582
2009-04-01,151.66666666666666
2009-05-01,133.3548387096774
2009-06-01,119.5
2009-07-01,194.83870967741936
2009-08-01,151.32258064516128
2009-09-01,155.33333333333334
2009-10-01,175.58064516129033
2009-11-01,193.16666666666666
2009-12-01,269.7096774193548
2010-01-01,199.80645161290323
2010-02-01,273.9642857142857
2010-03-01,353.5806451612903
2010-04-01,330.2
2010-05-01,475.7741935483871
2010-06-01,303.9
2010-07-01,301.38709677419354
2010-08-01,226.29032258064515
2010-09-01,197.2
2010-10-01,180.3548387096774
2010-11-01,186.1
2010-12-01,172.03225806451613
2011-01-01,313.7741935483871
2011-02-01,271.25
2011-03-01,241.58064516129033
2011-04-01,246.16666666666666
2011-05-01,248.19354838709677
2011-06-01,228.53333333333333
2011-07-01,248.67741935483872
2011-08-01,218.29032258064515
2011-09-01,213.33333333333334
2011-10-01,260.06451612903226
2011-11-01,334.73333333333335
2011-12-01,232.7741935483871
2012-01-01,246.03225806451613
2012-02-01,263.7241379310345
2012-03-01,219.19354838709677
2012-04-01,238.96666666666667
2012-05-01,247.32258064516128
2012-06-01,203.2
2012-07-01,219.19354838709677
2012-08-01,234.32258064516128
2012-09-01,197.86666666666667
2012-10-01,221.32258064516128
2012-11-01,289.6
2012-12-01,426.2258064516129
2013-01-01,281.06451612903226
2013-02-01,325.35714285714283
2013-03-01,257.19354838709677
2013-04-01,300.03333333333336
2013-05-01,272.64516129032256
2013-06-01,208.5
2013-07-01,319.96774193548384
2013-08-01,324.38709677419354
2013-09-01,244.53333333333333
2013-10-01,249.7741935483871
2013-11-01,265.5
2013-12-01,290.0
2014-01-01,372.2258064516129
2014-02-01,257.5357142857143
2014-03-01,358.61290322580646
2014-04-01,432.03333333333336
2014-05-01,346.7096774193548
2014-06-01,230.13333333333333
2014-07-01,276.03225806451616
2014-08-01,286.741935483871
2014-09-01,263.2
2014-10-01,357.3225806451613
2014-11-01,362.96666666666664
2014-12-01,322.2258064516129
2015-01-01,260.80645161290323
2015-02-01,290.07142857142856
2015-03-01,323.16129032258067
2015-04-01,274.46666666666664
2015-05-01,231.48387096774192
2015-06-01,236.9
2015-07-01,290.5483870967742
2015-08-01,274.0967741935484
2015-09-01,301.4
2015-10-01,340.16129032258067
2015-11-01,373.1333333333333
2015-12-01,380.7741935483871
2016-01-01,471.64516129032256
2016-02-01,299.3103448275862
2016-03-01,358.16129032258067
2016-04-01,690.2
2016-05-01,473.4516129032258
2016-06-01,300.2
2016-07-01,339.9032258064516
2016-08-01,345.06451612903226
2016-09-01,353.5238095238095
