,gen,effmax_R,effmin_R,effstd_R,effavg_R
0,0,,,,
1,1,,,,
2,2,,,,
3,3,,,,
4,4,,,,
5,5,,,,
6,6,-9.442806398778218,-9.442806398778218,0.0,-9.442806398778218
